"","ME","RMSE","MAE","MPE","MAPE","MASE","ACF1"
"XGBoost",190.755493782752,296.428034145473,213.983635766113,1.92594094446693,2.42819710442681,0.0441097663186422,0.0582769739844758
"ARIMA",7.27074414403212,2359.76516715315,1388.99480570948,-14.1318814162069,27.3462474588087,0.286322064200368,-0.170887037525685
"ES HoltWinters",-1268.58763019763,3054.92498640858,2441.30562893751,-38.4359223618052,48.5839738071389,0.503241383011742,-0.580955193620163
"Naive",-626.01,4974.18258491533,3707.32333333333,-35.6128272783715,60.8238876390664,0.764213419009867,-0.53408831145645
" TBATS",-696.128407453469,2011.95276431756,1614.04386979389,-16.1387355233265,23.9059147195672,0.332712815490538,-0.106687826961213
