"","ME","RMSE","MAE","MPE","MAPE","MASE","ACF1"
"XGoost",463.299637976639,719.349859041983,499.517283164904,2.54524564493166,2.89930354907236,0.0573754950758601,0.626270846807426
"ARIMA",2.58443004003253,6470.77904653443,3042.04369164971,-4.77735684286228,15.7698532776613,0.349414862574794,-0.273487628810224
"ES HoltWinters",-3397.21917020187,20852.8749250746,8039.75409398839,-14.9666625348694,42.5845460040362,0.923461283477702,-0.0132617030705874
"Naive",54.0879166666665,8996.2978337594,5620.16791666667,-11.3217855626782,39.699136428406,0.645543062264299,-0.275021865161806
" TBATS",1266.01532989968,8029.65493466516,5113.79125662588,-5.16668182526113,35.0857366230925,0.587379686253325,-0.116261642748785
